1	2800	 [190, 255] [337, 2799]
5021	5682	 [5234, 5530]
7960	9927	 [8238, 9191] [9306, 9893]
11787	15444	 [12163, 14079] [14168, 15298]
16961	19810	 [17489, 18655] [18715, 19620]
21079	22390	 [21181, 21399] [21407, 22348]
25702	34780	 [25826, 26275] [26277, 27227] [27293, 28207] [28374, 29195] [29651, 30799] [30817, 34038] [34195, 34695]
41932	44179	 [42367, 43173] [43188, 44129]
45751	47245	 [45807, 47138]
49632	50379	 [49823, 50302]
57110	58473	 [57364, 58179]
70049	72228	 [70387, 71265] [71351, 72115]
77300	78847	 [77621, 78799]
83709	90093	 [84191, 85312] [85540, 87354] [87357, 87848] [87860, 87946] [88028, 89032] [89634, 90092]
105245	111563	 [105305, 106456] [106557, 107474] [107630, 108217] [108279, 110984] [111044, 111433]
121552	129406	 [122092, 122856] [123017, 125680] [125695, 127587] [127912, 129336]
131261	134787	 [131615, 134212] [134340, 134750]
137041	138834	 [137083, 138633]
141226	142007	 [141419, 141967]
144473	146313	 [144577, 145017] [145081, 146310]
146695	147943	 [146968, 147870]
162041	169777	 [162060, 164534] [164730, 167264] [167484, 169727]
174883	177000	 [175107, 176528] [176610, 176954]
179154	183708	 [179237, 180754] [180884, 182308] [182445, 183620]
189507	202559	 [189874, 190599] [190857, 191708] [191855, 192580] [192872, 193429] [193521, 194717] [194903, 195664] [195785, 196534] [196546, 197898] [197928, 200360] [200482, 200967] [200971, 201996] [202101, 202556]
205090	213677	 [205126, 208608] [208621, 209580] [209679, 211820] [211850, 212266] [212331, 213629]
215256	216178	 [215269, 215979]
222646	223770	 [222833, 223408]
230882	232596	 [231122, 231922] [231926, 232549]
236003	236930	 [236067, 236798]
237008	238745	 [237335, 238120]
240190	240858	 [240343, 240816]
243340	244326	 [243543, 244121]
246503	248357	 [246712, 247461] [247637, 248134]
250828	253466	 [250898, 251953] [252005, 252298] [252301, 252699] [252709, 253161]
255717	258268	 [255977, 256435] [256527, 257771] [257829, 258230]
259325	262094	 [259612, 260715] [260727, 261980]
270979	273324	 [271054, 271479] [272086, 273216]
281208	287627	 [281481, 282410] [282425, 284392] [284619, 286001] [286013, 287623]
290571	291545	 [290724, 291455]
301798	303076	 [302215, 302829]
310561	311737	 [311336, 311563]
312002	314505	 [313581, 314468]
319253	321561	 [319451, 320305] [320832, 321551]
328559	332724	 [328687, 330720] [331595, 332683]
334247	335148	 [334504, 335109]
338968	344889	 [338993, 339313] [339389, 340339] [340349, 341731] [342108, 343157] [343400, 344215] [344598, 344873]
345562	346080	 [345708, 345983]
349189	354145	 [349236, 350405] [350439, 351890] [351930, 353816]
357915	360472	 [358023, 358682] [358713, 359183] [359216, 360370]
367759	369500	 [367835, 369499]
383694	385430	 [384399, 385418]
389391	390962	 [389475, 390935]
392135	393684	 [392239, 393642]
395512	398248	 [395863, 397083] [397096, 398190]
398558	399052	 [398685, 399029]
400148	404058	 [400610, 400870] [400902, 402386] [402487, 402825] [402927, 404042]
405447	408331	 [405629, 406153] [406203, 406394] [406652, 407329] [407401, 407685] [407893, 408174]
416177	423560	 [416366, 417055] [417113, 418408] [418815, 420134] [420210, 421583] [421739, 423556]
424143	430352	 [424235, 425305] [425361, 426488] [426511, 426843] [426871, 428718] [428729, 429700] [429829, 430176]
432136	434857	 [432226, 432675] [432679, 433782] [433871, 434341] [434361, 434780]
440568	442274	 [440773, 442221]
443740	444525	 [443889, 444398]
453494	464075	 [453663, 454013] [454357, 455655] [455901, 456524] [456650, 457924] [458112, 460466] [460675, 460947] [461139, 463010] [463161, 463532] [463626, 464024]
466537	468094	 [466624, 467454] [467520, 468065]
471642	473524	 [471822, 472160] [472190, 473476]
474386	475205	 [474603, 475175]
475786	476290	 [475896, 476249]
484844	489333	 [484985, 485632] [485760, 489122]
490037	493299	 [490106, 490483] [490636, 491187] [491316, 493247]
494235	497278	 [494344, 496218] [496399, 497043]
499198	500785	 [499349, 500653]
503921	505826	 [504138, 505790]
507305	508098	 [507388, 507783]
510604	513216	 [510865, 511797] [511800, 513092]
522055	526804	 [522485, 526765]
528125	528868	 [528163, 528354]
531446	536719	 [531675, 532157] [532235, 533050] [533140, 534921] [534934, 535710] [535810, 536688]
538312	542484	 [538371, 539732] [539783, 541090] [541112, 542257]
545588	548849	 [545904, 547571] [547838, 548839]
553661	555254	 [553834, 555219]
556965	563070	 [557402, 557977] [558197, 558889] [558920, 561523] [561565, 562542] [562553, 563068]
567228	571688	 [567333, 567470] [567538, 567870] [568125, 569651] [570116, 570667] [570677, 571474]
572957	573959	 [573179, 573562]
578860	580056	 [579103, 579309]
581807	583902	 [582098, 582283] [582904, 583653]
594667	602638	 [594823, 596196] [596354, 596686] [596702, 597925] [597937, 601080] [601182, 602558]
606607	608681	 [607288, 608400]
611718	617476	 [612038, 613162] [613380, 617261]
621413	622776	 [621523, 622773]
623734	626916	 [624108, 625283] [625293, 626903]
628521	631611	 [628523, 628936] [629117, 631222]
637857	640661	 [638168, 638731] [638946, 640541]
641091	642629	 [641311, 642549]
655192	656777	 [655780, 656340] [656515, 656724]
658042	658473	 [658170, 658373]
674007	674792	 [674241, 674723]
694179	695580	 [694324, 695499]
702835	709422	 [703167, 705113] [705316, 706980] [707557, 708963] [709013, 709339]
712026	715169	 [712210, 712755] [712781, 714421] [714635, 715129]
